district,street,house_count,calibrated_score,calibrated_score_life_circle,life_circle_score,life_circle_5min_score,life_circle_10min_score,life_circle_15min_score
普陀,桃浦镇,1051,0.11841262568431063,0.14776199837155227,0.3786975039445404,0.4970110290667855,0.3176037971942837,0.27492705319930744
普陀,甘泉路街道,540,0.10044501536445657,0.13325071122667023,0.3624526314464733,0.35109287875579925,0.366627729750356,0.37478309812611593
普陀,真如镇街道,1554,0.09800139632033616,0.1616842323132978,0.4589851131088264,0.5914186787946533,0.38276025359882426,0.3538062113255064
普陀,石泉路街道,604,0.08667002866380556,0.16698549215592437,0.49560278691659343,0.6031617828177364,0.4593727945145431,0.3742303828376353
普陀,长寿路街道,1349,0.10617063721104515,0.18373173886494493,0.5143419026449908,0.6228070856607515,0.46522011220892534,0.4095681164302654
普陀,长征镇,1174,0.08018303885405066,0.13456513647513718,0.4027042715048438,0.45638720074001077,0.3840304238064284,0.34295497150635806
普陀,长风新村街道,867,0.09389912368292015,0.1595377894066634,0.45998639782010214,0.5370269543478812,0.4285444620566619,0.380740217444472
杨浦,五角场街道,601,0.14501709807031987,0.20375341498160676,0.5074857750316449,0.6488113800091957,0.4342624416571988,0.3838774737917881
杨浦,五角场镇,692,0.10324021475964022,0.17082245394423787,0.47849003522887573,0.5915340374300874,0.4300452301171039,0.36544235886341775
杨浦,四平路街道,323,0.12339925365508363,0.1940557215309919,0.5157851488032642,0.6266688323113826,0.461722999503732,0.41405826420961966
杨浦,大桥街道,531,0.08738826195770788,0.1435233546997584,0.42029687919599507,0.45040318951066916,0.4236639580207006,0.36741287233792863
杨浦,定海路街道,336,0.09274755617568275,0.1606280058864614,0.4649412394341954,0.5876437589655054,0.39532904616340947,0.3660742787631997
杨浦,平凉路街道,434,0.07822611997940104,0.14298122542967817,0.4347078671740729,0.5469819420840104,0.3876198179273398,0.32099261626359915
杨浦,延吉新村街道,332,0.10095179773094433,0.15029831013026834,0.4181877393838243,0.44302927098906403,0.42267818122206036,0.37215467024191023
杨浦,控江路街道,551,0.10094645244539868,0.18932628932867895,0.5392546510588343,0.6972793963182422,0.45106510992313814,0.40988041623375654
杨浦,新江湾城街道,448,0.10281637789185917,0.12735238170495292,0.3372489442740612,0.37159262636449525,0.31218329242603465,0.31739096551660373
杨浦,殷行街道,639,0.11632428474597163,0.1752930605610201,0.47010467913636184,0.59394855695951,0.3974048987639559,0.37373416714069296
